scenarij,TimeStep,kategorija,pos_zgornja,neg_zgornja,vozila_zgornja,pos_spodnja,neg_spodnja,vozila_spodnja,Cas
50pct,39,drugo_neopredeljeno,52622.85720949736,14812.342790502642,1561,0.0,0.0,0.0,09:45
50pct,39,industrijsko,62350.63165757665,16100.56834242335,1816,59127.019219839065,15306.580780160937,1723.0,09:45
50pct,39,izobrazevalno,15836.529100704438,4381.070899295562,468,0.0,0.0,0.0,09:45
50pct,39,poslovno,29239.575277838023,7566.824722161979,852,19221.30477895764,5013.895221042358,561.0,09:45
50pct,39,stanovanjsko,76696.08658798682,17263.91341201318,2175,0.0,0.0,0.0,09:45
50pct,39,zelene_povrsine,3795.6919478604436,1085.9080521395563,113,0.0,0.0,0.0,09:45
50pct,40,delovno_neopredeljeno,41620.742285562024,10089.657714437979,1197,41620.742285562024,10089.657714437979,1197.0,10:00
50pct,40,drugo_neopredeljeno,52496.75279430757,14852.04720569243,1559,0.0,0.0,0.0,10:00
50pct,40,industrijsko,62383.29516950277,16111.104830497234,1817,59239.34312128437,15323.85687871563,1726.0,10:00
50pct,40,izobrazevalno,15540.21840230207,4331.781597697929,460,0.0,0.0,0.0,10:00
50pct,40,poslovno,29613.310404343585,7625.089595656414,862,19252.122545020666,5026.277454979332,562.0,10:00
50pct,40,stanovanjsko,76820.57682581712,17571.423174182884,2185,0.0,0.0,0.0,10:00
50pct,40,zelene_povrsine,3795.0107731980165,1086.5892268019832,113,0.0,0.0,0.0,10:00
50pct,41,delovno_neopredeljeno,41667.67606904298,10085.923930957018,1198,41667.67606904298,10085.923930957018,1198.0,10:15
50pct,41,drugo_neopredeljeno,51440.774653121,14612.025346878998,1529,0.0,0.0,0.0,10:15
50pct,41,industrijsko,61818.23043370331,15898.569566296692,1799,58668.02947185463,15117.570528145372,1708.0,10:15
50pct,41,izobrazevalno,15125.088243296352,4228.51175670365,448,0.0,0.0,0.0,10:15
50pct,41,poslovno,29439.21157000695,7583.18842999305,857,19284.287931508665,5037.312068491334,563.0,10:15
50pct,41,stanovanjsko,77826.50981121724,17991.090188782757,2218,0.0,0.0,0.0,10:15
50pct,41,zelene_povrsine,3754.407332556957,1083.9926674430426,112,0.0,0.0,0.0,10:15
50pct,42,delovno_neopredeljeno,41449.026763393966,10045.373236606032,1192,41449.026763393966,10045.373236606032,1192.0,10:30
50pct,42,drugo_neopredeljeno,50837.33042660966,14481.069573390343,1512,0.0,0.0,0.0,10:30
50pct,42,industrijsko,61239.02652386635,15786.573476133657,1783,58097.688197666954,14996.711802333048,1692.0,10:30
50pct,42,izobrazevalno,14692.28458264604,4056.515417353961,434,0.0,0.0,0.0,10:30
50pct,42,poslovno,29164.69753250904,7512.102467490964,849,19125.530040263857,4980.069959736141,558.0,10:30
50pct,42,stanovanjsko,79238.75192866132,18566.048071338675,2264,0.0,0.0,0.0,10:30
50pct,42,zelene_povrsine,3750.5533907363833,1087.8466092636168,112,0.0,0.0,0.0,10:30
50pct,43,delovno_neopredeljeno,41042.55585371052,9976.644146289482,1181,41042.55585371052,9976.644146289482,1181.0,10:45
50pct,43,drugo_neopredeljeno,50224.5778728947,14359.422127105305,1495,0.0,0.0,0.0,10:45
50pct,43,industrijsko,60486.201713692324,15632.198286307672,1762,57429.14363608041,14844.456363919591,1673.0,10:45
50pct,43,izobrazevalno,14329.506334402073,3944.0936655979262,423,0.0,0.0,0.0,10:45
50pct,43,poslovno,28944.15172578625,7430.248274213751,842,18947.68909999806,4941.91090000194,553.0,10:45
50pct,43,stanovanjsko,80213.93980590408,19189.260194095918,2301,0.0,0.0,0.0,10:45
50pct,43,zelene_povrsine,3613.726806416148,1051.8731935838518,108,0.0,0.0,0.0,10:45
50pct,44,delovno_neopredeljeno,40846.81318353722,9956.386816462786,1176,40846.81318353722,9956.386816462786,1176.0,11:00
50pct,44,drugo_neopredeljeno,49828.92365882336,14236.676341176637,1483,0.0,0.0,0.0,11:00
50pct,44,industrijsko,60154.644357805584,15574.95564219442,1753,56992.330457137505,14762.869542862492,1661.0,11:00
50pct,44,izobrazevalno,13901.302577289563,3853.897422710438,411,0.0,0.0,0.0,11:00
50pct,44,poslovno,28916.98325292457,7457.416747075432,842,18840.173391552664,4919.8266084473335,550.0,11:00
50pct,44,stanovanjsko,81841.21495859837,20024.385041401634,2358,0.0,0.0,0.0,11:00
50pct,44,zelene_povrsine,3643.6698604658095,1065.1301395341902,109,0.0,0.0,0.0,11:00
50pct,45,delovno_neopredeljeno,40481.21817807702,9889.981821922978,1166,40481.21817807702,9889.981821922978,1166.0,11:15
50pct,45,drugo_neopredeljeno,49495.54831117958,14094.851688820425,1472,0.0,0.0,0.0,11:15
50pct,45,industrijsko,59359.95805802093,15419.241941979073,1731,56464.59193952428,14685.80806047572,1647.0,11:15
50pct,45,izobrazevalno,13702.920713894291,3793.0792861057093,405,0.0,0.0,0.0,11:15
50pct,45,poslovno,28771.272043778918,7430.32795622108,838,18566.198298533687,4848.201701466309,542.0,11:15
50pct,45,stanovanjsko,84406.46304027634,21001.53695972365,2440,0.0,0.0,0.0,11:15
50pct,45,zelene_povrsine,3752.5532444608343,1085.8467555391658,112,0.0,0.0,0.0,11:15
50pct,46,delovno_neopredeljeno,40228.46256044337,9797.137439556629,1158,40228.46256044337,9797.137439556629,1158.0,11:30
50pct,46,drugo_neopredeljeno,49125.481521969334,14032.918478030664,1462,0.0,0.0,0.0,11:30
50pct,46,industrijsko,58828.38767789338,15216.412322106626,1714,56183.50716064605,14578.092839353949,1638.0,11:30
50pct,46,izobrazevalno,13436.270543972294,3714.1294560277047,397,0.0,0.0,0.0,11:30
50pct,46,poslovno,28439.091468465827,7330.508531534175,828,18464.329820104216,4820.470179895782,539.0,11:30
50pct,46,stanovanjsko,86595.28302468566,21793.51697531434,2509,0.0,0.0,0.0,11:30
50pct,46,zelene_povrsine,3802.020679988608,1079.5793200113917,113,0.0,0.0,0.0,11:30
50pct,47,delovno_neopredeljeno,40134.57213895046,9804.627861049537,1156,40134.57213895046,9804.627861049537,1156.0,11:45
50pct,47,drugo_neopredeljeno,48185.72812237502,13849.471877624988,1436,0.0,0.0,0.0,11:45
50pct,47,industrijsko,58349.00629978371,15134.193700216289,1701,55765.97304069154,14520.426959308463,1627.0,11:45
50pct,47,izobrazevalno,13189.263659285041,3658.7363407149574,390,0.0,0.0,0.0,11:45
50pct,47,poslovno,28035.285252591337,7259.114747408663,817,18374.86498471494,4823.53501528506,537.0,11:45
50pct,47,stanovanjsko,88345.98608365929,22462.013916340704,2565,0.0,0.0,0.0,11:45
50pct,47,zelene_povrsine,3569.051729343235,1010.1482706567649,106,0.0,0.0,0.0,11:45
50pct,48,delovno_neopredeljeno,40248.924508508484,9863.075491491512,1160,40248.924508508484,9863.075491491512,1160.0,12:00
50pct,48,drugo_neopredeljeno,47140.80946779171,13511.990532208292,1404,0.0,0.0,0.0,12:00
50pct,48,industrijsko,58214.56852791996,15182.23147208004,1699,55689.18895900527,14597.211040994733,1627.0,12:00
50pct,48,izobrazevalno,12886.769182925498,3572.430817074501,381,0.0,0.0,0.0,12:00
50pct,48,poslovno,27454.65592294968,7148.544077050317,801,18148.9433530288,4790.256646971199,531.0,12:00
50pct,48,stanovanjsko,90307.66320556121,23178.736794438788,2627,0.0,0.0,0.0,12:00
50pct,48,zelene_povrsine,3623.4543118365827,1042.1456881634172,108,0.0,0.0,0.0,12:00
50pct,49,delovno_neopredeljeno,40031.31172703873,9821.488272961271,1154,40031.31172703873,9821.488272961271,1154.0,12:15
50pct,49,drugo_neopredeljeno,45774.81210065873,13063.587899341268,1362,0.0,0.0,0.0,12:15
50pct,49,industrijsko,58334.48531603659,15278.314683963416,1704,55887.47887432794,14701.32112567206,1634.0,12:15
50pct,49,izobrazevalno,12589.184871037414,3481.2151289625876,372,0.0,0.0,0.0,12:15
50pct,49,poslovno,27242.56248652201,7101.437513477994,795,18165.808923050794,4816.591076949206,532.0,12:15
50pct,49,stanovanjsko,92152.07823076744,23883.121769232555,2686,0.0,0.0,0.0,12:15
50pct,49,zelene_povrsine,3644.332889963201,1064.4671100367989,109,0.0,0.0,0.0,12:15
50pct,50,delovno_neopredeljeno,40092.61181113702,9846.58818886298,1156,40092.61181113702,9846.58818886298,1156.0,12:30
50pct,50,drugo_neopredeljeno,44859.0416432521,12812.958356747904,1335,0.0,0.0,0.0,12:30
