scenarij,TimeStep,celica,pos_zgornja,neg_zgornja,vozila_zgornja,Cas,sredisce_lat,sredisce_lon
50pct,0,18_15,1661.6911761886834,325.5088238113168,46,00:00,45.90333,15.44018
50pct,0,18_16,820.4636749127333,173.13632508726667,23,00:00,45.90333,15.44665
50pct,0,18_2,408.3396935673979,66.86030643260207,11,00:00,45.90333,15.35616
50pct,0,18_21,1490.5582642815311,280.64173571846896,41,00:00,45.90333,15.47897
50pct,0,18_23,1657.221898131431,329.9781018685688,46,00:00,45.90333,15.49189
50pct,0,18_3,736.5354386733109,127.46456132668908,20,00:00,45.90333,15.36262
50pct,0,18_5,83.04470229359549,3.355297706404495,2,00:00,45.90333,15.37555
50pct,0,18_7,569.9278260628394,121.27217393716063,16,00:00,45.90333,15.38848
50pct,0,18_9,410.3764076595761,64.82359234042387,11,00:00,45.90333,15.4014
50pct,0,19_15,981.6046663661913,227.99533363380874,28,00:00,45.90784,15.44018
50pct,0,19_16,1827.9880155077717,332.0119844922283,50,00:00,45.90784,15.44665
50pct,0,19_17,656.186336483129,121.41366351687103,18,00:00,45.90784,15.45311
50pct,0,19_23,444.228655992449,74.17134400755103,12,00:00,45.90784,15.49189
50pct,0,19_29,31.3903650917164,11.8096349082836,1,00:00,45.90784,15.53067
50pct,0,19_4,75.98910818378893,10.410891816211066,2,00:00,45.90784,15.36909
50pct,0,19_5,131.6027297395611,41.197270260438884,4,00:00,45.90784,15.37555
50pct,0,19_6,293.5413785102209,52.058621489779114,8,00:00,45.90784,15.38201
50pct,0,19_7,354.6297293974651,77.37027060253492,10,00:00,45.90784,15.38848
50pct,0,19_8,39.95043697703594,3.249563022964061,1,00:00,45.90784,15.39494
50pct,0,19_9,235.72582809558543,66.6741719044146,7,00:00,45.90784,15.4014
50pct,0,1_26,37.28924056132938,5.91075943867062,1,00:00,45.82676,15.51128
50pct,0,1_27,28.87818961145329,14.32181038854671,1,00:00,45.82676,15.51775
50pct,0,20_10,33.01827705365525,10.18172294634475,1,00:00,45.91234,15.40787
50pct,0,20_16,113.48021395850192,16.119786041498088,3,00:00,45.91234,15.44665
50pct,0,20_17,75.42689787127824,10.973102128721761,2,00:00,45.91234,15.45311
50pct,0,20_20,144.80805863851734,27.99194136148263,4,00:00,45.91234,15.4725
50pct,0,20_24,73.5588632640181,12.841136735981896,2,00:00,45.91234,15.49836
50pct,0,20_25,42.67555073599901,0.52444926400099,1,00:00,45.91234,15.50482
50pct,0,20_26,2867.189096828705,588.8109031712953,80,00:00,45.91234,15.51128
50pct,0,20_27,2329.7203903973805,435.0796096026198,64,00:00,45.91234,15.51775
50pct,0,20_28,2313.2234909577205,451.57650904227967,64,00:00,45.91234,15.52421
50pct,0,20_29,1551.5175237136418,306.0824762863582,43,00:00,45.91234,15.53067
50pct,0,20_5,32.52723317621855,10.67276682378145,1,00:00,45.91234,15.37555
